127.0.0.1 - - [04/Aug/2022:11:21:24 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Aug/2022:11:21:29 +0900] "GET /jspTest/member/list.jsp HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [04/Aug/2022:11:21:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Aug/2022:11:25:26 +0900] "GET /jspTest/member/list.jsp HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [04/Aug/2022:11:27:53 +0900] "GET /jspTest/member/list.jsp HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [04/Aug/2022:11:30:07 +0900] "GET /jspTest/member/list.jsp HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [04/Aug/2022:11:30:07 +0900] "GET /jspTest/member/list.jsp HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [04/Aug/2022:11:30:07 +0900] "GET /jspTest/member/list.jsp HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [04/Aug/2022:11:30:07 +0900] "GET /jspTest/member/list.jsp HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [04/Aug/2022:11:30:07 +0900] "GET /jspTest/member/list.jsp HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [04/Aug/2022:11:30:24 +0900] "GET /jspTest/member/list.jsp HTTP/1.1" 500 2527
0:0:0:0:0:0:0:1 - - [04/Aug/2022:11:30:27 +0900] "GET /jspTest/member/list.jsp HTTP/1.1" 500 2527
0:0:0:0:0:0:0:1 - - [04/Aug/2022:11:30:27 +0900] "GET /jspTest/member/list.jsp HTTP/1.1" 500 2527
0:0:0:0:0:0:0:1 - - [04/Aug/2022:11:30:31 +0900] "GET /jspTest/member/list.jsp HTTP/1.1" 500 2527
0:0:0:0:0:0:0:1 - - [04/Aug/2022:11:30:51 +0900] "GET /jspTest/member/list.jsp HTTP/1.1" 500 2527
0:0:0:0:0:0:0:1 - - [04/Aug/2022:11:32:16 +0900] "GET /jspTest/member/list.jsp HTTP/1.1" 200 1896
0:0:0:0:0:0:0:1 - - [04/Aug/2022:11:32:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
