127.0.0.1 - - [02/Sep/2022:11:03:12 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:03:14 +0900] "GET /jspPortfolioModel1/index.jsp HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:03:14 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=dashBoard_list HTTP/1.1" 200 5203
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:03:14 +0900] "GET /jspPortfolioModel1/img/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:03:14 +0900] "GET /jspPortfolioModel1/img/lock.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:03:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:03:19 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopProduct_list HTTP/1.1" 200 5763
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:03:21 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:04:27 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:13:10 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:17:01 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:17:06 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:18:01 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:18:02 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:18:02 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:18:02 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:18:02 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:18:02 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:18:03 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:18:03 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:18:21 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:18:26 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:19:13 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:21:29 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:22:26 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:22:43 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:22:44 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:22:44 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:22:44 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:22:44 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:22:45 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:22:49 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:23:44 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:25:17 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopProduct_list HTTP/1.1" 200 5763
